i,xi,yi
0,0.0000000000000000,367.0000000000000000
1,0.2000000000000000,378.7440000000000282
2,0.4000000000000000,390.8638080000000059
3,0.6000000000000001,403.3714498560000266
4,0.8000000000000000,416.2793362513920101
5,1.0000000000000000,429.6002750114365654
6,1.2000000000000000,443.3474838118025332
7,1.3999999999999999,457.5346032937802079
8,1.5999999999999999,472.1757105991811727
9,1.7999999999999998,487.2853333383549739
10,1.9999999999999998,502.8784640051823089
11,2.1999999999999997,518.9705748533481255
12,2.3999999999999999,535.5776332486552747
13,2.6000000000000001,552.7161175126122998
14,2.8000000000000003,570.4030332730159216
15,3.0000000000000004,588.6559303377524657
16,3.2000000000000006,607.4929201085604973
17,3.4000000000000008,626.9326935520343795
18,3.6000000000000010,646.9945397456995124
19,3.8000000000000012,667.6983650175618550
20,4.0000000000000009,689.0647126981237989
21,4.2000000000000011,711.1147835044637304
22,4.4000000000000012,733.8704565766065571
23,4.6000000000000014,757.3543111870579878
24,4.8000000000000016,781.5896491450438361
25,5.0000000000000018,806.6005179176852380
26,5.2000000000000020,832.4117344910512202
27,5.4000000000000021,859.0489099947648128
28,5.6000000000000023,886.5384751145973041
29,5.8000000000000025,914.9077063182644451
30,6.0000000000000027,944.1847529204488865
31,6.2000000000000028,974.3986650139032690
32,6.4000000000000030,1005.5794222943482055
33,6.6000000000000032,1037.7579638077672826
34,6.8000000000000034,1070.9662186496159393
35,7.0000000000000036,1105.2371376464036530
36,7.2000000000000037,1140.6047260510886190
37,7.4000000000000039,1177.1040772847234166
38,7.6000000000000041,1214.7714077578345950
39,7.8000000000000043,1253.6440928060853821
40,8.0000000000000036,1293.7607037758800743
41,8.2000000000000028,1335.1610462967082640
42,8.4000000000000021,1377.8861997782030357
43,8.6000000000000014,1421.9785581711055329
44,8.8000000000000007,1467.4818720325808954
45,9.0000000000000000,1514.4412919376234186
46,9.1999999999999993,1562.9034132796273298
47,9.3999999999999986,1612.9163225045754189
48,9.5999999999999979,1664.5296448247217995
49,9.7999999999999972,1717.7945934591130026
50,9.9999999999999964,1772.7640204498045478
51,10.1999999999999957,1829.4924691041983351
52,10.3999999999999950,1888.0362281155325945
53,10.5999999999999943,1948.4533874152295994
54,10.7999999999999936,2010.8038958125168847
55,10.9999999999999929,2075.1496204785175905
56,11.1999999999999922,2141.5544083338299970
57,11.3999999999999915,2210.0841494005126151
58,11.5999999999999908,2280.8068421813291025
59,11.7999999999999901,2353.7926611311318084
60,11.9999999999999893,2429.1140262873282154
61,12.1999999999999886,2506.8456751285225437
62,12.3999999999999879,2587.0647367326350832
63,12.5999999999999872,2669.8508083080796496
64,12.7999999999999865,2755.2860341739383330
65,12.9999999999999858,2843.4551872675042432
66,13.1999999999999851,2934.4457532600645209
67,13.3999999999999844,3028.3480173643865783
68,13.5999999999999837,3125.2551539200467232
69,13.7999999999999829,3225.2633188454883566
70,13.9999999999999822,3328.4717450485441077
71,14.1999999999999815,3434.9828408900975774
72,14.3999999999999808,3544.9022917985807908
73,14.5999999999999801,3658.3391651361353070
74,14.7999999999999794,3775.4060184204918187
75,14.9999999999999787,3896.2190110099477351
76,15.1999999999999780,4020.8980193622660408
77,15.3999999999999773,4149.5667559818584778
78,15.5999999999999766,4282.3528921732777235
79,15.7999999999999758,4419.3881847228221886
80,15.9999999999999751,4560.8086066339528770
81,16.1999999999999744,4706.7544820462389907
82,16.3999999999999737,4857.3706254717189950
83,16.5999999999999730,5012.8064854868143811
84,16.7999999999999723,5173.2162930223921649
85,16.9999999999999716,5338.7592143991087141
86,17.1999999999999709,5509.5995092598805059
87,17.3999999999999702,5685.9066935561968421
88,17.5999999999999694,5867.8557077499954175
89,17.7999999999999687,6055.6270903979948343
90,17.9999999999999680,6249.4071572907305381
91,18.1999999999999673,6449.3881863240339953
92,18.3999999999999666,6655.7686082864029231
93,18.5999999999999659,6868.7532037515675256
94,18.7999999999999652,7088.5533062716176573
95,18.9999999999999645,7315.3870120723095170
96,19.1999999999999638,7549.4793964586233415
97,19.3999999999999631,7791.0627371452992520
98,19.5999999999999623,8040.3767447339487262
99,19.7999999999999616,8297.6688005654359586
100,19.9999999999999609,8563.1942021835293417
